term,question,context,popularity,category,Culture_type
পূর্বা দাম,কোন বাঙালি রবীন্দ্রসঙ্গীত শিল্পী ছিলেন যিনি ভারতের গান সংস্কৃতির একটি গুরুত্বপূর্ণ অংশ হিসেবে স্বীকৃতি পেয়েছিলেন এবং তার গানগুলি অনেকের হৃদয়ে স্থান নিয়েছিল?,পূর্বা দাম একজন ভারতীয় বাঙালি রবীন্দ্রসঙ্গীত শিল্পী ছিলেন।,0.0002578150177,Miscellaneous,Miscellaneous
মরিচ,"কাঁচা লঙ্কা বলতে কোন প্রকারের ফলের মাধ্যমে ঝাল স্বাদ যোগ করা হয়, যা সাধারণত রান্নায় ব্যবহার করা হয়?",মরিচ বা কাঁচা লঙ্কা এক প্রকারের ফল যা মসলা হিসাবে ঝাল স্বাদের জন্য রান্নায় ব্যবহার করা হয়।,0.01608121173,Miscellaneous,Miscellaneous
গীতা দত্ত,কোন বাঙালি সঙ্গীতশিল্পী বাংলাদেশের স্বাধীনতা সংগীত 'আমার সোনার বাংলা' গানের সৃষ্টিকারী?,গীতা দত্ত একজন বাঙালি সঙ্গীতশিল্পী।,0.004012246213,Miscellaneous,Miscellaneous
চিরতা,"কোন একটি ভেষজ উদ্ভিদ যা ভারতবর্ষের বিভিন্ন অঞ্চলে এবং সেখানকার আশেপাশের দেশে প্রচুর পরিমাণে পাওয়া যায়, সেটি কোন উদ্ভিদ?","120-150, See text. Kingdon-Wardia C. Marquand Ophelia D. Don Pleurogyne Eschsch. ex Griseb. Swertopsis Makino Synallodia Raf. Tesseranthium Kellogg Probable synonyms Anagallidium Griseb. Possible synonyms Frasera Walter Lomatogoniopsis T. N. Ho & S. W. Liu Sources: GRIN, ING, NHM চিরতা একটি ভেষজ উদ্ভিদ যা ভারতবর্ষের বিভিন্ন স্থান ও আশেপাশের দেশে প্রচুর জন্মে। ",0.01127940703,Miscellaneous,Miscellaneous
কচু,"আরেকটি বাংলাদেশের পপুলার কন্দ যা Araceae গোত্রের একটি উদ্ভিদ এবং এর ফল ও কন্দ খাবার হিসেবে ব্যবহার করা হয়, সেটি কী?",কচু Araceae গোত্রভুক্ত একধরনের কন্দ জাতীয় উদ্ভিদ।,0.03490170802,Miscellaneous,Miscellaneous
কামরুল হাসান,বাংলাদেশের কোন প্রখ্যাত চিত্রশিল্পী যিনি তার স্বপ্ন ও অনুভূতি ভিত্তিক চিত্রগুলিতে দুর্লভ কলাত্মক দক্ষতা দেখান এবং যার কাজ মানুষের মনের গভীর স্তরে প্রবেশ করে?,কামরুল হাসান প্রখ্যাত বাংলাদেশী চিত্রশিল্পী।,0.1164195939,Miscellaneous,Miscellaneous
আদা,"কোন উদ্ভিদের পরিবর্তিত কাণ্ড যা মানুষের মুখরস মাখন এবং ওষুধ হিসেবে ব্যবহৃত হয়, সেটি কী বলা হয়?",আদা একটি উদ্ভিদের পরিবর্তিত কাণ্ড যা মানুষের মসলা এবং ভেষজ ওষুধ হিসাবে ব্যবহৃত হয়।,0.01635514019,Miscellaneous,Miscellaneous
চমচম,"বাংলাদেশের টাঙ্গাইলের পোড়াবাড়ী থেকে উদ্ভূত একটি মিষ্টি যা ভারতীয় উপমহাদেশের বিভিন্ন দেশে পরিচিত, এর নাম কী?","চমচম হলো বাংলাদেশের টাঙ্গাইলের পোড়াবাড়ী নামক স্থানে উৎপন্ন একটি বিখ্যাত মিষ্টি যা বাংলাদেশ, ভারত এবং পাকিস্তান ছাড়াও সমগ্র ভারতীয় উপমহাদেশেই বিখ্যাত। ",0.007154366742,Miscellaneous,Miscellaneous
গোবিন্দদাস,"বাংলা বৈষ্ণব পদাবলীর কোন পদকর্তা রচনা করেছেন 'অমর মন তোমার করো দাস', যিনি বিখ্যাত হয়েছেন তাঁর কবিতার জন্য?",গোবিন্দদাস কবিরাজ হলেন বাংলা বৈষ্ণব পদাবলীর একজন বিখ্যাত পদকর্তা।,0.01461488882,Miscellaneous,Miscellaneous
কলকাতা,"পশ্চিমবঙ্গের রাজধানী ও সাংস্কৃতিক রাজধানী যে শহর, যার পূর্বনাম ছিল কলিকাতা, সেই শহরের বর্তমান নাম কী?","কলকাতা বা কোলকাতা , পূর্বনাম কলিকাতা, হল পশ্চিমবঙ্গের রাজধানী ও বৃহত্তম শহর এবং ভারতের সাংস্কৃতিক রাজধানী। ",0.1574766355,Miscellaneous,Miscellaneous
ক্ষীর,"বাংলার এই নিজস্ব মিষ্টিভাজা, যা মেওয়ার সাথে সম্পর্কিত, কী তৈরি করা হয়?",ক্ষীর বা মেওয়া বাংলার নিজস্ব মিষ্টি।,0.002562036739,Miscellaneous,Miscellaneous
